id,legacy_id,username,full_name,avatar,bio,headline,role,location,github,linkedin,website,availability,interests,xp,level,streak_days,last_active,is_verified,onboarding_completed,is_active,is_staff,is_superuser,created_at,updated_at
d9fbcbde-376a-5f82-9fb5-268a24b02d57,\N,niruta.adhikari.demo,Niruta Adhikari,,"Year 1, computer science. I want to get better at accessible forms. Happy to help with a small edtech project; still balancing it with classes. Outside coursework: weekend walks. Fictional demo profile.",Computer Science · Year 1,learner,"Kathmandu, Nepal",,,,focused_learning,"[""EdTech"",""weekend walks"",""accessible forms""]",2535,8,34,2026-09-19,false,true,true,false,false,2026-06-06T02:30:00+00:00,2026-09-19T10:30:00+00:00
4c2177ab-592a-5e4a-b25b-8bb3f8090555,\N,sagar.tamang.demo,Sagar Tamang,,"Studying business administration in Pokhara (year 3). Currently practising measuring whether people return after a first visit. I like projects with a clear, small first version. Usually around for student radio on weekends. Fictional demo profile.",Research partner in training,builder,"Pokhara, Nepal",,,,open_to_collaboration,"[""Business"",""student radio"",""measuring whether people return after a first visit""]",1690,6,1,2026-09-18,false,true,true,false,false,2026-06-06T05:30:00+00:00,2026-09-19T10:30:00+00:00
8ae0340a-8eaf-5e9d-9db0-ac449334023d,\N,bipana.gurung.demo,Bipana Gurung,,"Cybersecurity, year 3. Looking for people to work through threat modelling a small web app with. My next project should involve cybersecurity. Also into weekend walks. Fictional demo profile.",Learning Linux through small projects,builder,"Lalitpur, Nepal",,,,open_to_collaboration,"[""Cybersecurity"",""weekend walks"",""threat modelling a small web app""]",535,4,0,2026-09-16,false,true,true,false,false,2026-06-10T20:30:00+00:00,2026-09-19T10:30:00+00:00
3d016498-e16a-5ad9-95c7-b633dfc6a142,\N,ritesh.poudel.demo,Ritesh Poudel,,Most of my work so far is coursework in public health. This year (3) I am spending more time on designing clearer information charts. Can contribute as a research partner. Student radio keeps me away from the laptop. Fictional demo profile.,Public Health student · HealthTech,learner,"Kathmandu, Nepal",,,,focused_learning,"[""HealthTech"",""student radio"",""designing clearer information charts""]",1660,6,1,2026-09-19,false,true,true,false,false,2026-05-28T03:30:00+00:00,2026-09-19T10:30:00+00:00
001e944b-e64e-5742-afb7-5e04327e41ee,\N,kritika.joshi.demo,Kritika Joshi,,"Learning by making small things. Year 4 of information technology, with an interest in community. Next up: API tests. I can usually find a few hours between classes and weekend walks. Fictional demo profile.",Information Technology · Year 4,mentor,"Pokhara, Nepal",,,,mentoring,"[""Community"",""weekend walks"",""API tests""]",1620,6,0,2026-09-11,false,true,true,false,false,2026-06-06T04:30:00+00:00,2026-09-19T10:30:00+00:00
1767869f-381f-59b9-acac-01da2d539e40,\N,ishita.kulkarni.demo,Ishita Kulkarni,,"Based in Pune; computer engineering, year 3. I enjoy the research and debugging parts of group work. Working on collecting reliable sensor readings at the moment. Looking for a manageable project, not another full-time commitment. Fictional demo profile.",Hardware builder in training,builder,"Pune, India",,,,open_to_collaboration,"[""Climate"",""short films"",""collecting reliable sensor readings""]",1345,6,0,2026-09-17,false,true,true,false,false,2026-06-09T00:30:00+00:00,2026-09-19T10:30:00+00:00
50d6350f-ffd4-59ad-a1ff-65a49a77a913,\N,aditya.menon.demo,Aditya Menon,,I am in year 1 of applied mathematics. Interested in machine learning and sketching. Would like to practise explaining where a classifier gets things wrong with a team that is comfortable asking basic questions. Fictional demo profile.,Learning Python through small projects,learner,"Chennai, India",,,,open_to_collaboration,"[""Machine Learning"",""sketching"",""explaining where a classifier gets things wrong""]",1900,7,9,2026-09-19,false,true,true,false,false,2026-06-13T05:30:00+00:00,2026-09-19T10:30:00+00:00
1bc15434-bc22-56cc-a890-336efd2a11e5,\N,kavya.reddy.demo,Kavya Reddy,,"Year 2, computer science. I want to get better at accessible forms. Happy to help with a small edtech project; still balancing it with classes. Outside coursework: short films. Fictional demo profile.",Computer Science student · EdTech,builder,"Kochi, India",,,,open_to_collaboration,"[""EdTech"",""short films"",""accessible forms""]",1620,6,0,2026-09-17,false,true,true,false,false,2026-06-08T23:30:00+00:00,2026-09-19T10:30:00+00:00
3425797b-5c54-5f3a-9a34-9cedb0dc5b84,\N,zoya.ansari.demo,Zoya Ansari,,"Studying business administration in Pune (year 1). Currently practising measuring whether people return after a first visit. I like projects with a clear, small first version. Usually around for sketching on weekends. Fictional demo profile.",Business Administration · Year 1,builder,"Pune, India",,,,,"[""Business"",""sketching"",""measuring whether people return after a first visit""]",1120,5,0,2026-09-13,false,true,true,false,false,2026-06-09T01:30:00+00:00,2026-09-19T10:30:00+00:00
b55b4f74-ded6-5cf1-aae0-9ad89c03c10c,\N,devansh.patel.demo,Devansh Patel,,"Cybersecurity, year 2. Looking for people to work through threat modelling a small web app with. My next project should involve cybersecurity. Also into short films. Fictional demo profile.",Security reviewer in training,learner,"Chennai, India",,,,focused_learning,"[""Cybersecurity"",""short films"",""threat modelling a small web app""]",175,2,0,2026-08-24,false,true,true,false,false,2026-05-29T23:30:00+00:00,2026-09-19T10:30:00+00:00
b0ebc690-efe0-594f-bd55-e4d7ec3454bc,\N,nusrat.jahan.demo,Nusrat Jahan,,Most of my work so far is coursework in digital media. This year (2) I am spending more time on writing navigation labels people understand. Can contribute as a content designer. Board games keeps me away from the laptop. Fictional demo profile.,Learning Figma through small projects,builder,"Dhaka, Bangladesh",,,,focused_learning,"[""Community"",""board games"",""writing navigation labels people understand""]",525,4,0,2026-09-15,false,true,true,false,false,2026-06-05T04:30:00+00:00,2026-09-19T10:30:00+00:00
9c9c228f-3bd5-5da4-b666-fbfab93b4b7e,\N,fahim.chowdhury.demo,Fahim Chowdhury,,"Learning by making small things. Year 2 of data science, with an interest in research. Next up: checking a model against a simple baseline. I can usually find a few hours between classes and cycling. Fictional demo profile.",Data Science student · Research,builder,"Chattogram, Bangladesh",,,,open_to_collaboration,"[""Research"",""cycling"",""checking a model against a simple baseline""]",330,3,0,2026-09-17,false,true,true,false,false,2026-06-04T03:30:00+00:00,2026-09-19T10:30:00+00:00
